Query,Intent
Show me the AQI heatmap for Karachi.,VIEW_HEATMAPS
Display the heatmap for Manila.,VIEW_HEATMAPS
Give me a visual heatmap of pollution in Los Angeles.,VIEW_HEATMAPS
Show the heatmap for Sydney.,VIEW_HEATMAPS
Display a heatmap of air pollution in New York.,VIEW_HEATMAPS
Can you show me the heatmap for Madrid?,VIEW_HEATMAPS
Give me the AQI heatmap for Singapore.,VIEW_HEATMAPS
Show the air pollution heatmap for Dubai.,VIEW_HEATMAPS
Display the heatmap for Nairobi.,VIEW_HEATMAPS
Give me a heatmap of air quality in Lima.,VIEW_HEATMAPS
Show me the pollution heatmap for Kuala Lumpur.,VIEW_HEATMAPS
Display a heatmap of AQI in Santiago.,VIEW_HEATMAPS
Can you provide the heatmap for Buenos Aires?,VIEW_HEATMAPS
Show me the air pollution heatmap for Jakarta.,VIEW_HEATMAPS
Give me the AQI heatmap for Athens.,VIEW_HEATMAPS



What's the air quality in San Francisco as of right now?,CHECK_CURRENT_CONDITIONS
Tell me the current AQI for New York City today.,CHECK_CURRENT_CONDITIONS
How's the air quality in Chicago at this very moment?,CHECK_CURRENT_CONDITIONS
What is the present air quality index in Los Angeles?,CHECK_CURRENT_CONDITIONS
Give me the current pollution levels in London.,CHECK_CURRENT_CONDITIONS
What's the air quality like in Paris right now?,CHECK_CURRENT_CONDITIONS
Can you update me on the AQI in Tokyo this morning?,CHECK_CURRENT_CONDITIONS
How's the air quality in Miami today?,CHECK_CURRENT_CONDITIONS
Tell me the air quality levels in Berlin at this hour.,CHECK_CURRENT_CONDITIONS
What's the pollution index in Sydney at this time?,CHECK_CURRENT_CONDITIONS
Give me the current AQI for Mumbai this afternoon.,CHECK_CURRENT_CONDITIONS
What's the air quality like in Houston as of today?,CHECK_CURRENT_CONDITIONS
Tell me the current air quality in Vancouver.,CHECK_CURRENT_CONDITIONS
How is the air quality in Beijing today?,CHECK_CURRENT_CONDITIONS
What's the air quality index in Rome right now?,CHECK_CURRENT_CONDITIONS
Can you provide the current pollution levels for Madrid?,CHECK_CURRENT_CONDITIONS
What's the present air quality in Seoul?,CHECK_CURRENT_CONDITIONS
How's the air quality in Delhi at this time?,CHECK_CURRENT_CONDITIONS
Tell me the current AQI in Chicago this evening.,CHECK_CURRENT_CONDITIONS
What is the air quality in San Francisco this morning?,CHECK_CURRENT_CONDITIONS
What's the air quality index for Boston right now?,CHECK_CURRENT_CONDITIONS
How's the pollution in Seattle this evening?,CHECK_CURRENT_CONDITIONS
Tell me the air quality in Phoenix at this moment.,CHECK_CURRENT_CONDITIONS
Can you give me the current AQI for Philadelphia?,CHECK_CURRENT_CONDITIONS
What's the air quality like in Atlanta today?,CHECK_CURRENT_CONDITIONS
Provide the current pollution index for Dallas.,CHECK_CURRENT_CONDITIONS
What's the air quality in San Diego this afternoon?,CHECK_CURRENT_CONDITIONS
How's the air quality in Denver right now?,CHECK_CURRENT_CONDITIONS
Give me the present AQI for San Jose.,CHECK_CURRENT_CONDITIONS
What is the air quality like in Las Vegas today?,CHECK_CURRENT_CONDITIONS
Tell me the current air quality in Austin.,CHECK_CURRENT_CONDITIONS
How's the air quality in Portland right now?,CHECK_CURRENT_CONDITIONS
What's the pollution level in Orlando at this moment?,CHECK_CURRENT_CONDITIONS
Can you update me on the AQI in Minneapolis this morning?,CHECK_CURRENT_CONDITIONS
What's the air quality like in Baltimore at this time?,CHECK_CURRENT_CONDITIONS
Provide the current air quality index for Tampa.,CHECK_CURRENT_CONDITIONS
How's the air quality in Charlotte today?,CHECK_CURRENT_CONDITIONS
What's the pollution index in New Orleans right now?,CHECK_CURRENT_CONDITIONS
Tell me the current air quality in St. Louis.,CHECK_CURRENT_CONDITIONS
What's the air quality like in Salt Lake City at this hour?,CHECK_CURRENT_CONDITIONS
